iter	MultiClass
0	1.03460664
1	0.9778505349
2	0.9265632563
3	0.8815949367
4	0.8390069661
5	0.8022548025
6	0.7670210039
7	0.7344606524
8	0.7044815606
9	0.6772156381
10	0.6520021443
11	0.6285603734
12	0.6066674799
13	0.5859769763
14	0.5653172614
15	0.5473931145
16	0.5291996259
17	0.5121846904
18	0.4977454492
19	0.4825867134
20	0.4672594528
21	0.4534630509
22	0.4418970828
23	0.430211867
24	0.4183524398
25	0.408120784
26	0.3975305113
27	0.3880209814
28	0.3780528475
29	0.3704989802
30	0.3615586245
31	0.3533004837
32	0.345138852
33	0.3381778352
34	0.330259901
35	0.3233103685
36	0.3171502038
37	0.3114772561
38	0.304605336
39	0.2982380161
40	0.292066136
41	0.2871128123
42	0.2820219128
43	0.2778637848
44	0.2732084637
45	0.2698661609
46	0.2659363711
47	0.2620948087
48	0.2578253438
49	0.2535843718
50	0.2503037059
51	0.2466561679
52	0.2429985138
53	0.240031712
54	0.2366944065
55	0.2338334975
56	0.2299943882
57	0.2277016907
58	0.2251098771
59	0.2217312291
60	0.2192930719
61	0.2166215173
62	0.2140158292
63	0.2113483647
64	0.2088614494
65	0.2067850072
66	0.2041503136
67	0.202704106
68	0.2007678495
69	0.199030961
70	0.1973248438
71	0.1953522033
72	0.1943051758
73	0.1923014363
74	0.1903825158
75	0.1880929092
76	0.1867315876
77	0.1853912151
78	0.1837840513
79	0.1821686627
80	0.1807338646
81	0.1793103115
82	0.1785261116
83	0.1774886062
84	0.176324245
85	0.1753999461
86	0.1740720247
87	0.1730131999
88	0.1720731697
89	0.1707502826
90	0.1695977749
91	0.1687243949
92	0.1675461906
93	0.1665359638
94	0.1654053167
95	0.1643459616
96	0.1634032157
97	0.1629156714
98	0.1618668535
99	0.1606868788
100	0.1596561332
101	0.1585731106
102	0.1574514369
103	0.1564878531
104	0.1556081794
105	0.1546075476
106	0.1538609343
107	0.1528556126
108	0.1522408075
109	0.1513838485
110	0.1507970846
111	0.1499895323
112	0.1492377624
113	0.1486917194
114	0.1482036905
115	0.1475707014
116	0.1469540167
117	0.1463188139
118	0.1455567647
119	0.1447191629
120	0.1439060886
121	0.1434003954
122	0.1427221741
123	0.1422289739
124	0.1418955781
125	0.1411512938
126	0.1406034616
127	0.1398939356
128	0.1391321714
129	0.1387873959
130	0.1382680334
131	0.1377948794
132	0.1375785331
133	0.1372970581
134	0.1369372586
135	0.1364555204
136	0.1357958223
137	0.135418847
138	0.1348589583
139	0.1343017149
140	0.1337910536
141	0.1332965868
142	0.1324218365
143	0.1319683776
144	0.1317930992
145	0.1312356629
146	0.1306611952
147	0.130307825
148	0.1299288694
149	0.1293746524
150	0.1288917428
151	0.1285173543
152	0.1280427095
153	0.1274725423
154	0.1269339527
155	0.1266839979
156	0.1263739706
157	0.1261244892
158	0.1255151377
159	0.1250628651
160	0.1244667468
161	0.1240517489
162	0.1236491713
163	0.1232462169
164	0.1227981306
165	0.1224524515
166	0.1220804604
167	0.1216894996
168	0.1214131018
169	0.1210896095
170	0.1207005183
171	0.1202447066
172	0.1200641639
173	0.1196491959
174	0.119543129
175	0.1193372151
176	0.1190310987
177	0.1186953071
178	0.1184526756
179	0.1181679393
180	0.1178251907
181	0.1174264302
182	0.1171579365
183	0.1168887526
184	0.1166222146
185	0.1162138858
186	0.11584029
187	0.1156188044
188	0.1153493
189	0.1150862968
190	0.1148551713
191	0.1145083957
192	0.1143641137
193	0.1141326564
194	0.1138619782
195	0.1135356407
196	0.1132672975
197	0.1129411799
198	0.112855617
199	0.1127326783
200	0.1124851714
201	0.1122171384
202	0.1119092857
203	0.1116915649
204	0.1116335356
205	0.1113246406
206	0.1111167859
207	0.1108260955
208	0.1104219555
209	0.1100600678
210	0.1097770645
211	0.1094441305
212	0.1090987454
213	0.1087325178
214	0.1084424351
215	0.1082011191
216	0.1077689786
217	0.1075671592
218	0.1072744769
219	0.1070099645
220	0.1067404657
221	0.1064459472
222	0.1061740249
223	0.1058225368
224	0.1054904353
225	0.1053171197
226	0.1052026499
227	0.1050317714
228	0.1047902332
229	0.1045240415
230	0.1043242082
231	0.1040677578
232	0.1038186805
233	0.1035698551
234	0.1033298965
235	0.1031073803
236	0.1029626445
237	0.1027145538
238	0.1024833195
239	0.1022177092
240	0.102141309
241	0.1019606428
242	0.1018178695
243	0.1017651207
244	0.1015933119
245	0.1013309797
246	0.1011070198
247	0.101008459
248	0.1008740037
249	0.1007023548
250	0.1005708667
251	0.1003671684
252	0.1002809313
253	0.1001313802
254	0.09985952889
255	0.09971513588
256	0.09961384504
257	0.09945368736
258	0.09924575351
259	0.09890822775
260	0.09872827053
261	0.09855837929
262	0.0983379116
263	0.09813679462
264	0.09791803101
265	0.09771671366
266	0.09762985215
267	0.09753712084
268	0.09739614063
269	0.09717138607
270	0.09693967809
271	0.09677968775
272	0.09669182448
273	0.09658229904
274	0.0964540897
275	0.09625563475
276	0.09615015124
277	0.09605694455
278	0.09588894114
279	0.09568286704
280	0.09550604746
281	0.09531791542
282	0.09523689589
283	0.09521166882
284	0.09503123209
285	0.09490370817
286	0.09472499396
287	0.0946114572
288	0.09450379956
289	0.09448658419
290	0.09447059189
291	0.0942409675
292	0.09420160179
293	0.09410785558
294	0.09388401332
295	0.09379609971
296	0.09364078744
297	0.09359968648
298	0.09347461813
299	0.0933839361
