iter	Accuracy	MultiClass
131	0.905	0.5618933454
132	0.895	0.560050454
133	0.9	0.5579683697
134	0.915	0.5543158727
135	0.915	0.5522058457
136	0.92	0.5498793695
137	0.92	0.5480464905
138	0.91	0.5451041266
139	0.915	0.5431714394
140	0.91	0.5414335821
141	0.92	0.5388009159
142	0.92	0.5365091132
143	0.925	0.5341579972
144	0.935	0.5318375962
145	0.93	0.5282145751
146	0.93	0.5262456875
147	0.925	0.5247685996
148	0.925	0.5227510986
149	0.925	0.5213198293
150	0.925	0.5189014119
151	0.925	0.5173350807
152	0.925	0.5155083451
153	0.93	0.5137691796
154	0.935	0.5118610934
155	0.94	0.5101576058
156	0.945	0.5077477266
157	0.945	0.505560676
158	0.935	0.5032553232
159	0.94	0.5021044021
160	0.945	0.4999024074
161	0.95	0.4981877478
162	0.95	0.4953296092
163	0.95	0.4930781451
164	0.95	0.4912693407
165	0.95	0.4889947347
166	0.95	0.4874777483
167	0.95	0.4861871587
168	0.955	0.4837540138
169	0.95	0.4815450739
170	0.955	0.4802561176
171	0.955	0.4791605499
172	0.955	0.4767186065
173	0.955	0.4746214088
174	0.95	0.4725330403
175	0.95	0.470685421
176	0.95	0.4683629333
177	0.955	0.4669928457
178	0.96	0.4656572462
179	0.96	0.4642575541
180	0.96	0.4623117748
181	0.96	0.460517607
182	0.965	0.458929411
183	0.96	0.4570686353
184	0.96	0.4555729877
185	0.96	0.4537343504
186	0.955	0.4516638664
187	0.96	0.4499211458
188	0.955	0.4481458699
189	0.96	0.4466172978
190	0.96	0.4449452826
191	0.96	0.4434148603
192	0.96	0.4419466313
193	0.96	0.440656693
194	0.965	0.4398143768
195	0.965	0.438396678
196	0.965	0.4368350527
197	0.965	0.4356998906
198	0.965	0.434018317
199	0.96	0.4330779819
200	0.96	0.4313299608
201	0.965	0.4300262668
202	0.965	0.4292095379
203	0.965	0.4279477158
204	0.965	0.4259830075
205	0.965	0.4251508616
206	0.965	0.4236903547
207	0.965	0.4219255387
208	0.965	0.4205899239
209	0.965	0.4191295774
210	0.965	0.4175272702
211	0.965	0.4165727609
212	0.965	0.4149199602
213	0.96	0.4135330798
214	0.96	0.4124332254
215	0.965	0.4111621746
216	0.965	0.4097047231
217	0.965	0.408764701
218	0.965	0.4070445398
219	0.965	0.4056542322
220	0.965	0.4048242927
221	0.97	0.4035158273
222	0.97	0.4021664343
223	0.965	0.4005359783
224	0.97	0.3992390023
225	0.965	0.3978873883
226	0.965	0.3964618238
227	0.965	0.3941550243
228	0.965	0.3925678502
229	0.965	0.3909811802
230	0.965	0.3896962119
231	0.97	0.3886409556
232	0.97	0.3873676917
233	0.97	0.3854618188
234	0.97	0.3841315886
235	0.97	0.3828882095
236	0.97	0.3816531549
237	0.975	0.3801579648
238	0.98	0.3787042651
239	0.98	0.3774109421
240	0.98	0.3764711631
241	0.985	0.3754723711
242	0.985	0.3741788839
243	0.985	0.3727403049
244	0.985	0.3716611618
245	0.985	0.3703547069
246	0.985	0.3689071837
247	0.985	0.3677163091
248	0.985	0.3665384792
249	0.985	0.3654489359
