iter	Passed	Remaining
402	10071	14919
403	10096	14894
404	10120	14868
405	10145	14844
406	10169	14817
407	10193	14790
408	10218	14765
409	10242	14739
410	10266	14713
411	10292	14689
412	10317	14664
413	10342	14639
414	10367	14614
415	10396	14595
416	10432	14585
417	10457	14560
418	10484	14537
419	10511	14516
420	10537	14491
421	10564	14469
422	10596	14454
423	10628	14438
424	10656	14417
425	10683	14395
426	10710	14372
427	10742	14356
428	10769	14333
429	10796	14311
430	10824	14290
431	10853	14270
432	10887	14256
433	10914	14233
434	10945	14216
435	10975	14197
436	11008	14182
437	11037	14161
438	11064	14139
439	11091	14116
440	11119	14095
441	11150	14077
442	11178	14055
443	11206	14033
444	11235	14012
445	11265	13993
446	11298	13977
447	11325	13954
448	11352	13931
449	11383	13912
450	11407	13886
451	11436	13865
452	11466	13845
453	11492	13821
454	11520	13799
455	11550	13779
456	11580	13759
457	11607	13736
458	11633	13711
459	11658	13685
460	11685	13662
461	11716	13644
462	11744	13621
463	11772	13599
464	11800	13576
465	11827	13553
466	11854	13529
467	11879	13504
468	11904	13477
469	11928	13451
470	11953	13425
471	11979	13400
472	12002	13373
473	12027	13346
474	12052	13320
475	12077	13295
476	12102	13269
477	12129	13245
478	12154	13220
479	12178	13193
480	12204	13169
481	12230	13144
482	12261	13124
483	12290	13102
484	12316	13078
485	12345	13056
486	12377	13038
487	12407	13017
488	12434	12993
489	12460	12969
490	12483	12941
491	12510	12917
492	12543	12899
493	12570	12876
494	12599	12854
495	12626	12830
496	12653	12806
497	12683	12784
498	12711	12762
499	12738	12738
500	12765	12714
501	12795	12693
502	12829	12676
503	12857	12653
504	12885	12629
505	12912	12605
506	12938	12581
507	12967	12559
508	12995	12536
509	13025	12514
510	13093	12530
511	13137	12521
512	13173	12506
513	13201	12482
514	13232	12461
515	13280	12457
516	13319	12443
517	13397	12466
518	13442	12458
519	13487	12449
520	13518	12428
521	13551	12408
522	13579	12385
523	13615	12368
524	13646	12346
525	13673	12322
526	13702	12298
527	13729	12273
528	13759	12250
529	13787	12226
530	13821	12207
531	13853	12187
532	13887	12167
533	13919	12147
534	13952	12126
535	13982	12104
536	14024	12091
537	14057	12071
538	14088	12049
539	14123	12031
540	14156	12010
541	14187	11988
542	14223	11970
543	14254	11948
544	14285	11926
545	14315	11903
546	14349	11883
547	14383	11864
548	14416	11842
549	14443	11817
550	14471	11792
551	14498	11766
552	14529	11744
553	14557	11719
554	14586	11695
555	14613	11669
556	14645	11647
557	14679	11628
558	14718	11611
559	14749	11588
560	14784	11569
561	14826	11554
562	14856	11531
563	14890	11511
564	14917	11485
565	14942	11457
566	14971	11433
567	14996	11405
568	15023	11379
569	15047	11351
570	15072	11323
571	15099	11297
572	15124	11270
573	15149	11243
574	15174	11215
575	15198	11187
576	15223	11160
577	15250	11134
578	15274	11106
579	15298	11078
580	15322	11050
581	15349	11023
582	15375	10997
583	15399	10969
584	15423	10941
585	15448	10914
586	15472	10886
587	15497	10858
588	15524	10832
589	15548	10805
590	15572	10777
591	15597	10749
592	15622	10722
593	15646	10694
594	15673	10668
595	15704	10645
596	15735	10622
597	15764	10597
598	15811	10585
599	15859	10573
600	15901	10556
601	15938	10537
602	15980	10521
603	16012	10498
604	16038	10471
605	16063	10444
606	16088	10416
607	16115	10390
608	16140	10362
609	16164	10334
610	16188	10306
611	16213	10278
612	16237	10250
613	16263	10224
614	16288	10197
615	16313	10169
616	16341	10143
617	16365	10116
618	16392	10089
619	16422	10065
620	16457	10044
621	16492	10022
622	16528	10001
623	16574	9987
624	16619	9971
625	16645	9944
626	16673	9918
627	16697	9890
628	16723	9863
629	16750	9837
630	16775	9809
631	16799	9782
632	16824	9754
633	16850	9727
634	16875	9700
635	16900	9672
636	16924	9644
637	16949	9616
638	16973	9589
639	16998	9561
640	17040	9543
641	17065	9516
642	17089	9488
643	17114	9460
644	17138	9432
645	17171	9409
646	17201	9384
647	17230	9359
648	17256	9332
649	17283	9306
650	17312	9281
651	17338	9254
652	17367	9228
653	17391	9201
654	17418	9174
655	17445	9148
656	17470	9120
657	17494	9092
658	17519	9065
659	17542	9037
660	17566	9009
661	17594	8983
662	17618	8955
663	17642	8927
664	17667	8900
665	17691	8872
666	17723	8848
667	17754	8824
668	17794	8803
669	17829	8781
670	17875	8764
671	17919	8746
672	17957	8725
673	17987	8700
674	18013	8672
675	18039	8646
676	18063	8618
677	18087	8590
678	18112	8562
679	18136	8534
680	18161	8507
681	18187	8480
682	18212	8452
683	18236	8425
684	18261	8397
685	18285	8369
686	18386	8377
687	18458	8370
688	18532	8365
689	18561	8339
690	18587	8311
691	18612	8284
692	18636	8255
693	18661	8228
694	18687	8201
695	18712	8173
696	18737	8145
697	18763	8118
698	18788	8090
699	18813	8062
700	18840	8036
701	18866	8008
702	18895	7982
703	18920	7955
704	18946	7927
705	18973	7901
706	18998	7873
707	19022	7845
708	19047	7817
709	19071	7789
710	19095	7761
711	19123	7735
712	19147	7707
713	19172	7679
714	19196	7651
715	19220	7623
716	19244	7595
717	19271	7568
718	19296	7541
719	19320	7513
720	19344	7485
721	19369	7458
722	19395	7430
723	19419	7402
724	19443	7374
725	19467	7347
726	19491	7319
727	19515	7291
728	19543	7265
729	19569	7238
730	19595	7210
731	19621	7183
732	19650	7157
733	19680	7132
734	19705	7104
735	19729	7076
736	19754	7049
737	19778	7021
738	19802	6993
739	19828	6966
740	19851	6938
741	19877	6911
742	19902	6884
743	19926	6856
744	19951	6829
745	19976	6801
746	20018	6780
747	20042	6752
748	20067	6724
749	20090	6696
750	20116	6669
751	20140	6642
752	20165	6614
753	20189	6586
754	20213	6559
755	20240	6532
756	20263	6504
757	20287	6477
758	20312	6449
759	20335	6421
760	20359	6394
761	20386	6367
762	20410	6339
763	20434	6312
764	20458	6284
765	20482	6256
766	20506	6229
767	20531	6202
768	20555	6174
769	20579	6147
770	20602	6119
771	20626	6091
772	20650	6064
773	20676	6037
774	20701	6010
775	20725	5982
776	20750	5955
777	20773	5927
778	20797	5900
779	20823	5873
780	20847	5845
781	20872	5818
782	20896	5791
783	20920	5763
784	20946	5737
785	20971	5709
786	20995	5682
787	21019	5655
788	21043	5627
789	21067	5600
790	21091	5572
791	21115	5545
792	21139	5518
793	21163	5490
794	21188	5463
795	21212	5436
796	21238	5409
797	21262	5382
798	21287	5355
799	21311	5327
800	21335	5300
801	21361	5273
802	21396	5249
803	21421	5222
804	21446	5195
805	21471	5167
806	21495	5140
807	21521	5114
808	21545	5086
809	21569	5059
810	21594	5032
811	21618	5005
812	21644	4978
813	21669	4951
814	21693	4924
815	21717	4897
816	21742	4870
817	21766	4842
818	21791	4815
819	21815	4788
820	21839	4761
821	21864	4734
822	21888	4707
823	21912	4680
824	21938	4653
825	21964	4626
826	21988	4599
827	22012	4572
828	22036	4545
829	22060	4518
830	22086	4491
831	22109	4464
832	22133	4437
833	22158	4410
834	22182	4383
835	22206	4356
836	22231	4329
837	22255	4302
838	22280	4275
839	22303	4248
840	22328	4221
841	22352	4194
842	22380	4168
843	22404	4141
844	22428	4114
845	22452	4087
846	22476	4060
847	22502	4033
848	22529	4006
849	22553	3980
850	22577	3953
851	22601	3926
852	22625	3899
853	22652	3872
854	22676	3845
855	22701	3819
856	22725	3792
857	22749	3765
858	22772	3738
859	22798	3711
860	22822	3684
861	22845	3657
862	22870	3630
863	22895	3603
864	22921	3577
865	22948	3550
866	22972	3524
867	22996	3497
868	23019	3470
869	23043	3443
870	23070	3416
871	23094	3389
872	23118	3363
873	23143	3336
874	23166	3309
875	23190	3282
876	23216	3256
877	23240	3229
878	23265	3202
879	23289	3175
880	23313	3149
881	23337	3122
882	23363	3095
883	23387	3068
884	23410	3042
885	23434	3015
886	23459	2988
887	23484	2962
888	23509	2935
889	23534	2908
890	23558	2881
891	23581	2855
892	23605	2828
893	23631	2801
894	23656	2775
895	23680	2748
896	23705	2722
897	23729	2695
898	23753	2668
899	23779	2642
900	23803	2615
901	23833	2589
902	23858	2562
903	23885	2536
904	23909	2509
905	23934	2483
906	23958	2456
907	23982	2429
908	24006	2403
909	24030	2376
910	24056	2350
911	24080	2323
912	24104	2296
913	24128	2270
914	24151	2243
915	24175	2216
916	24201	2190
917	24225	2163
918	24249	2137
919	24274	2110
920	24301	2084
921	24326	2058
922	24354	2031
923	24377	2005
924	24403	1978
925	24428	1952
926	24452	1925
927	24479	1899
928	24505	1872
929	24530	1846
930	24553	1819
931	24581	1793
932	24605	1766
933	24632	1740
934	24656	1714
935	24680	1687
936	24705	1661
937	24729	1634
938	24752	1607
939	24779	1581
940	24803	1555
941	24826	1528
942	24850	1502
943	24875	1475
944	24899	1449
945	24924	1422
946	24948	1396
947	24973	1369
948	24996	1343
949	25020	1316
950	25045	1290
951	25070	1264
952	25093	1237
953	25117	1211
954	25142	1184
955	25167	1158
956	25192	1131
957	25217	1105
958	25240	1079
959	25264	1052
960	25288	1026
961	25311	999
962	25337	973
963	25361	947
964	25385	920
965	25409	894
966	25433	867
967	25457	841
968	25482	815
969	25506	788
970	25530	762
971	25554	736
972	25578	709
973	25601	683
974	25627	657
975	25651	630
976	25676	604
977	25699	578
978	25724	551
979	25747	525
980	25773	499
981	25796	472
982	25821	446
983	25845	420
984	25868	393
985	25896	367
986	25920	341
987	25944	315
988	25968	288
989	25992	262
990	26015	236
991	26042	210
992	26068	183
993	26092	157
994	26116	131
995	26141	104
996	26165	78
997	26192	52
998	26216	26
999	26241	0
